ano,departamento,municipio,numero_de_muestras,promedio_irca
2015,Nariño,La Florida,90,25.06
2015,Nariño,Ancuyá,76,54.73
2015,Nariño,Consaca,105,53.37
2015,Santander,Barichara,11,4.38
2015,Boyacá,San Miguel De Sema,16,8.83
2015,Córdoba,Moñitos,14,31.58
2015,Magdalena,Santa Bárbara De Pinto,13,76.42
2015,Valle del Cauca,Andalucía,27,12.73
2015,Boyacá,Chiquinquirá,74,7.9
2015,La Guajira,Uribia,26,5.12
2015,Magdalena,Algarrobo,17,23.34
2015,Córdoba,Chimá,7,7.91
2015,Nariño,Belén,37,65.03
2015,Sucre,San Marcos,65,1.27
2015,Santander,Piedecuesta,144,0.62
2015,Caquetá,Morelia,21,89.05
2015,Santander,Curití,10,13.89
2015,Santander,Macaravita,7,18.17
2015,Córdoba,Cereté,30,4.46
2015,Antioquia,Andes,26,4.8
2015,Norte de Santander,Tibú,13,5.13
2015,Santander,Girón,73,1.4
2015,Boyacá,Pachavita,23,46.55
2015,Valle del Cauca,Pradera,90,5.57
2015,Norte de Santander,San Cayetano,11,23.08
2015,Nariño,Pupiales,52,62.4
2015,Valle del Cauca,Argelia,26,39.36
2015,Santander,San Gil,72,2.69
2015,Antioquia,Argelia,154,89.17
2015,Córdoba,Valencia,12,12.36
2015,Antioquia,La Estrella,21,4.6
2015,Antioquia,Mutatá,48,1.47
2015,Boyacá,Zetaquira,22,55.73
2015,Valle del Cauca,Palmira,173,31.36
2015,Cundinamarca,Madrid,47,0.8
2015,Atlántico,Usiacurí,18,2.15
2015,Santander,Vélez,8,26.71
2015,Bolívar,Cantagallo,13,45.56
2015,Córdoba,Chinú,36,3.6
2015,Cundinamarca,Zipacón,24,36.65
2015,Boyacá,San Mateo,23,33.8
2015,Norte de Santander,Pamplonita,12,32.4
2015,Bolívar,San Martín De Loba,8,26.56
2015,Boyacá,Macanal,25,39.6
2015,Santander,Puente Nacional,11,9.55
2015,Santander,Matanza,5,3.53
2015,Cauca,Jambaló,33,0
2015,Cauca,Padilla,29,4.12
2015,Santander,Confines,2,8.52
2015,Nariño,Córdoba,65,58.96
2015,Córdoba,Planeta Rica,15,2.44
2015,Valle del Cauca,El Cairo,35,43.45
